,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
41,Symptoms of Depressive Disorder,By State,Michigan,Michigan,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.5
42,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.4
43,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.9
44,Symptoms of Depressive Disorder,By State,Missouri,Missouri,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.0
45,Symptoms of Depressive Disorder,By State,Montana,Montana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.2
46,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.1
47,Symptoms of Depressive Disorder,By State,Nevada,Nevada,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6
48,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.5
49,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6
50,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.4
51,Symptoms of Depressive Disorder,By State,New York,New York,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.7
52,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1
53,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.0
54,Symptoms of Depressive Disorder,By State,Ohio,Ohio,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.2
55,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.8
56,Symptoms of Depressive Disorder,By State,Oregon,Oregon,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5
57,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.7
58,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.5
59,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.6
60,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.5
61,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.2
62,Symptoms of Depressive Disorder,By State,Texas,Texas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.4
63,Symptoms of Depressive Disorder,By State,Utah,Utah,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.9
64,Symptoms of Depressive Disorder,By State,Vermont,Vermont,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.7
65,Symptoms of Depressive Disorder,By State,Virginia,Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.5
66,Symptoms of Depressive Disorder,By State,Washington,Washington,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1
67,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.4
68,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.0
69,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.9
70,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.8
71,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.2
72,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.4
73,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.1
74,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.0
75,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.9
76,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,16.4
77,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,14.6
78,Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.1
79,Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.4
80,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.3
81,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.0
82,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.8
83,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.3
84,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.2
85,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.3
86,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6
87,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.5
88,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.0
89,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6
90,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7
91,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.3
92,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.7
93,Symptoms of Anxiety Disorder,By State,California,California,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.8
94,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.6
95,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.9
96,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.9
97,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4
98,Symptoms of Anxiety Disorder,By State,Florida,Florida,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.6
99,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.9
100,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.3
101,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.9
102,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.1
103,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.8
104,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5
105,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4
106,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.6
107,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.4
108,Symptoms of Anxiety Disorder,By State,Maine,Maine,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.5
109,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7
110,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.0
111,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.5
112,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.5
113,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.3
114,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.4
115,Symptoms of Anxiety Disorder,By State,Montana,Montana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.8
116,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.2
117,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4
118,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.3
119,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4
120,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.9
121,Symptoms of Anxiety Disorder,By State,New York,New York,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.1
122,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.0
123,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.7
124,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.1
125,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.6
126,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.5
127,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.0
128,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.6
129,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.8
130,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1
131,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.2
132,Symptoms of Anxiety Disorder,By State,Texas,Texas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.7
133,Symptoms of Anxiety Disorder,By State,Utah,Utah,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.9
134,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6
135,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.5
136,Symptoms of Anxiety Disorder,By State,Washington,Washington,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6
137,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.8
138,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.1
139,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.9
140,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.9
141,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,46.8
142,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,39.6
143,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.9
144,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.8
145,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.9
146,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.5
147,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1
148,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.0
149,Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.7
150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,42.7
151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.6
152,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.9
153,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.9
154,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,43.9
155,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,45.4
156,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.7
157,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.5
158,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.7
159,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.3
160,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.5
161,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.4
162,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.0
163,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.4
164,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.9
165,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.2
166,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.7
167,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.6
168,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.8
169,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.2
170,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.0
171,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.3
172,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.6
173,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.8
174,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.2
175,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.5
176,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.4
177,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.9
178,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.3
179,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.9
180,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.6
181,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,39.4
182,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.4
183,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.5
