,Indicator,Group,State_x,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,State_y,date,cases,state2
21,Symptoms of Depressive Disorder,By State,Delaware,Delaware,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1,DE,2020-04-23,3308,Delaware
22,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.9,DE,2020-04-23,3308,Delaware
23,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.7,DE,2020-04-23,3308,Delaware
24,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4,DC,2020-04-23,3361,District of Columbia
25,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4,DC,2020-04-23,3361,District of Columbia
26,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.6,DC,2020-04-23,3361,District of Columbia
27,Symptoms of Depressive Disorder,By State,Florida,Florida,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5,FL,2020-04-23,29647,Florida
28,Symptoms of Anxiety Disorder,By State,Florida,Florida,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.6,FL,2020-04-23,29647,Florida
29,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.8,FL,2020-04-23,29647,Florida
30,Symptoms of Depressive Disorder,By State,Georgia,Georgia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,GA,2020-04-23,21476,Georgia
31,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.9,GA,2020-04-23,21476,Georgia
32,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.2,GA,2020-04-23,21476,Georgia
33,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.0,HI,2020-04-23,595,Hawaii
34,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.3,HI,2020-04-23,595,Hawaii
35,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.0,HI,2020-04-23,595,Hawaii
36,Symptoms of Depressive Disorder,By State,Idaho,Idaho,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.6,ID,2020-04-23,1831,Idaho
37,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.9,ID,2020-04-23,1831,Idaho
38,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.3,ID,2020-04-23,1831,Idaho
39,Symptoms of Depressive Disorder,By State,Illinois,Illinois,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.3,IL,2020-04-23,36934,Illinois
40,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.1,IL,2020-04-23,36934,Illinois
41,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.6,IL,2020-04-23,36934,Illinois
42,Symptoms of Depressive Disorder,By State,Indiana,Indiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4,IN,2020-04-23,12436,Indiana
43,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.8,IN,2020-04-23,12436,Indiana
44,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.8,IN,2020-04-23,12436,Indiana
45,Symptoms of Depressive Disorder,By State,Iowa,Iowa,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,16.5,IA,2020-04-23,3921,Iowa
46,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5,IA,2020-04-23,3921,Iowa
47,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.2,IA,2020-04-23,3921,Iowa
48,Symptoms of Depressive Disorder,By State,Kansas,Kansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1,KS,2020-04-23,2481,Kansas
49,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4,KS,2020-04-23,2481,Kansas
50,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.5,KS,2020-04-23,2481,Kansas
51,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.2,KY,2020-04-23,3467,Kentucky
52,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.6,KY,2020-04-23,3467,Kentucky
53,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.4,KY,2020-04-23,3467,Kentucky
54,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.1,LA,2020-04-23,25735,Louisiana
55,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.4,LA,2020-04-23,25735,Louisiana
56,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.9,LA,2020-04-23,25735,Louisiana
57,Symptoms of Depressive Disorder,By State,Maine,Maine,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.5,ME,2020-04-23,936,Maine
58,Symptoms of Anxiety Disorder,By State,Maine,Maine,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.5,ME,2020-04-23,936,Maine
59,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.3,ME,2020-04-23,936,Maine
60,Symptoms of Depressive Disorder,By State,Maryland,Maryland,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.9,MD,2020-04-23,15735,Maryland
61,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7,MD,2020-04-23,15735,Maryland
62,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.9,MD,2020-04-23,15735,Maryland
63,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.9,MA,2020-04-23,46023,Massachusetts
64,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.0,MA,2020-04-23,46023,Massachusetts
65,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.6,MA,2020-04-23,46023,Massachusetts
66,Symptoms of Depressive Disorder,By State,Michigan,Michigan,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.5,MI,2020-04-23,35288,Michigan
67,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.5,MI,2020-04-23,35288,Michigan
68,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,39.4,MI,2020-04-23,35288,Michigan
69,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.4,MN,2020-04-23,2781,Minnesota
70,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.5,MN,2020-04-23,2781,Minnesota
71,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.4,MN,2020-04-23,2781,Minnesota
72,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.9,MS,2020-04-23,5148,Mississippi
73,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.3,MS,2020-04-23,5148,Mississippi
74,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.5,MS,2020-04-23,5148,Mississippi
75,Symptoms of Depressive Disorder,By State,Missouri,Missouri,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.0,MO,2020-04-23,7131,Missouri
76,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.4,MO,2020-04-23,7131,Missouri
77,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.2,MO,2020-04-23,7131,Missouri
78,Symptoms of Depressive Disorder,By State,Montana,Montana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.2,MT,2020-04-23,442,Montana
79,Symptoms of Anxiety Disorder,By State,Montana,Montana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.8,MT,2020-04-23,442,Montana
80,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.3,MT,2020-04-23,442,Montana
81,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.1,NE,2020-04-23,1896,Nebraska
82,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.2,NE,2020-04-23,1896,Nebraska
83,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.6,NE,2020-04-23,1896,Nebraska
84,Symptoms of Depressive Disorder,By State,Nevada,Nevada,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6,NV,2020-04-23,4225,Nevada
85,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4,NV,2020-04-23,4225,Nevada
86,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.8,NV,2020-04-23,4225,Nevada
87,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.5,NH,2020-04-23,1670,New Hampshire
88,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.3,NH,2020-04-23,1670,New Hampshire
89,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.8,NH,2020-04-23,1670,New Hampshire
90,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6,NJ,2020-04-23,99989,New Jersey
91,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4,NJ,2020-04-23,99989,New Jersey
92,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.6,NJ,2020-04-23,99989,New Jersey
93,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.4,NM,2020-04-23,2376,New Mexico
94,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.9,NM,2020-04-23,2376,New Mexico
95,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.6,NM,2020-04-23,2376,New Mexico
96,Symptoms of Depressive Disorder,By State,New York,New York,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.7,NY,2020-04-23,263529,New York
97,Symptoms of Anxiety Disorder,By State,New York,New York,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.1,NY,2020-04-23,263529,New York
98,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,41.4,NY,2020-04-23,263529,New York
99,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1,NC,2020-04-23,7380,North Carolina
100,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.0,NC,2020-04-23,7380,North Carolina
101,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.6,NC,2020-04-23,7380,North Carolina
102,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.0,ND,2020-04-23,709,North Dakota
103,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.7,ND,2020-04-23,709,North Dakota
104,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7,ND,2020-04-23,709,North Dakota
105,Symptoms of Depressive Disorder,By State,Ohio,Ohio,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.2,OH,2020-04-23,14688,Ohio
106,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.1,OH,2020-04-23,14688,Ohio
107,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.1,OH,2020-04-23,14688,Ohio
108,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.8,OK,2020-04-23,3015,Oklahoma
109,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.6,OK,2020-04-23,3015,Oklahoma
110,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.1,OK,2020-04-23,3015,Oklahoma
111,Symptoms of Depressive Disorder,By State,Oregon,Oregon,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5,OR,2020-04-23,2126,Oregon
112,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.5,OR,2020-04-23,2126,Oregon
113,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.8,OR,2020-04-23,2126,Oregon
114,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.7,PA,2020-04-23,37053,Pennsylvania
115,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.0,PA,2020-04-23,37053,Pennsylvania
116,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.1,PA,2020-04-23,37053,Pennsylvania
117,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.5,RI,2020-04-23,6194,Rhode Island
118,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.6,RI,2020-04-23,6194,Rhode Island
119,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.4,RI,2020-04-23,6194,Rhode Island
120,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.6,SC,2020-04-23,4916,South Carolina
121,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.8,SC,2020-04-23,4916,South Carolina
122,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.3,SC,2020-04-23,4916,South Carolina
123,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.5,SD,2020-04-23,1955,South Dakota
124,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1,SD,2020-04-23,1955,South Dakota
125,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,SD,2020-04-23,1955,South Dakota
126,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.2,TN,2020-04-23,8149,Tennessee
127,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.2,TN,2020-04-23,8149,Tennessee
128,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.4,TN,2020-04-23,8149,Tennessee
129,Symptoms of Depressive Disorder,By State,Texas,Texas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.4,TX,2020-04-23,21944,Texas
130,Symptoms of Anxiety Disorder,By State,Texas,Texas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.7,TX,2020-04-23,21944,Texas
131,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.9,TX,2020-04-23,21944,Texas
132,Symptoms of Depressive Disorder,By State,Utah,Utah,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.9,UT,2020-04-23,3620,Utah
133,Symptoms of Anxiety Disorder,By State,Utah,Utah,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.9,UT,2020-04-23,3620,Utah
134,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.7,UT,2020-04-23,3620,Utah
135,Symptoms of Depressive Disorder,By State,Vermont,Vermont,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.7,VT,2020-04-23,824,Vermont
136,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6,VT,2020-04-23,824,Vermont
137,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.9,VT,2020-04-23,824,Vermont
138,Symptoms of Depressive Disorder,By State,Virginia,Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.5,VA,2020-04-23,11002,Virginia
139,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.5,VA,2020-04-23,11002,Virginia
140,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.7,VA,2020-04-23,11002,Virginia
141,Symptoms of Depressive Disorder,By State,Washington,Washington,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1,WA,2020-04-23,12752,Washington
142,Symptoms of Anxiety Disorder,By State,Washington,Washington,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6,WA,2020-04-23,12752,Washington
143,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.0,WA,2020-04-23,12752,Washington
144,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.4,WV,2020-04-23,980,West Virginia
145,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.8,WV,2020-04-23,980,West Virginia
146,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.3,WV,2020-04-23,980,West Virginia
147,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.0,WI,2020-04-23,6168,Wisconsin
148,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.1,WI,2020-04-23,6168,Wisconsin
